pretrained_model	imdbb	imdbm	bbbp	bace
GCC	0.679	0.4793333333333334	0.8347266492804017	0.7673666782851167
gin_infomax	0.69625	0.4583333333333333	0.8969961095316474	0.7958677685950413
gin_supervised	0.6962499999999999	0.45499999999999996	0.9227330540176567	0.8272727272727274
gin_supervised_contextpred	0.7224999999999999	0.4758333333333334	0.9282470447403861	0.8280991735537191
gin_supervised_edgepred	0.7125000000000001	0.4699999999999999	0.9166055663624121	0.8231404958677686
gin_supervised_infomax	0.725	0.46499999999999997	0.9319355080053867	0.8264462809917357
gin_supervised_masking	0.7037500000000001	0.4741666666666666	0.9263953314379769	0.8099173553719009
