pretrained_model	imdbb	imdbm	bbbp	bace
GCC	-0.6105694571848947	-0.63544433349761	-0.4586377144649738	-0.6515146753454608
gin_infomax	-0.6333540874855507	-0.6680538266500408	3.950437933077109	3.7765062815910815
gin_supervised	-0.613626884633103	-0.6487061754509407	3.983138712396033	3.8149495226116654
gin_supervised_contextpred	-0.6355372556108438	-0.671612736029371	3.9576596801374944	3.7944608443452315
gin_supervised_edgepred	-0.6278002705538438	-0.6630349672971448	3.9701614857724232	3.800035704043518
gin_supervised_infomax	-0.6249413371147841	-0.6653021335837278	3.904801581480726	3.766454153146032
gin_supervised_masking	-0.6408087836958827	-0.6714809276887926	3.9627838388417347	3.781850884638629
